Unieke identificatie gemeten parameter;parameter_code;grootheid_code;eenheid_code;hoedanigheid_code
1082;BaA;CONCTTE;ug/l;NVT
1083;C2yClprfs;CONCTTE;ug/l;NVT
1101;alCl;CONCTTE;ug/l;NVT
1103;aldn;CONCTTE;ug/l;NVT
1107;atzne;CONCTTE;ug/l;NVT
1114;Ben;CONCTTE;ug/l;NVT
1115;BaP;CONCTTE;ug/l;NVT
1117;BkF;CONCTTE;ug/l;NVT
1118;BghiPe;CONCTTE;ug/l;NVT
1119;bfnx;CONCTTE;ug/l;NVT
1135;TClC1a;CONCTTE;ug/l;NVT
1140;cypmtn;CONCTTE;ug/l;NVT
1144;44DDD;CONCTTE;ug/l;NVT
1146;44DDE;CONCTTE;ug/l;NVT
1147;24DDT;CONCTTE;ug/l;NVT
1148;44DDT;CONCTTE;ug/l;NVT
1161;12DClC2a;CONCTTE;ug/l;NVT
1168;DClC1a;CONCTTE;ug/l;NVT
1170;DClvs;CONCTTE;ug/l;NVT
1172;Dcfl;CONCTTE;ug/l;NVT
1173;dieldn;CONCTTE;ug/l;NVT
1177;Durn;CONCTTE;ug/l;NVT
1178;aedsfn;CONCTTE;ug/l;NVT
1179;bedsfn;CONCTTE;ug/l;NVT
1181;endn;CONCTTE;ug/l;NVT
1191;Flu;CONCTTE;ug/l;NVT
1197;HpCl;CONCTTE;ug/l;NVT
1199;HCB;CONCTTE;ug/l;NVT
1200;aHCH;CONCTTE;ug/l;NVT
1201;bHCH;CONCTTE;ug/l;NVT
1202;dHCH;CONCTTE;ug/l;NVT
1203;cHCH;CONCTTE;ug/l;NVT
1204;InP;CONCTTE;ug/l;NVT
1207;idn;CONCTTE;ug/l;NVT
1208;iptrn;CONCTTE;ug/l;NVT
1235;PeClFol;CONCTTE;ug/l;NVT
1263;simzne;CONCTTE;ug/l;NVT
1269;terbtn;CONCTTE;ug/l;NVT
1272;T4ClC2e;CONCTTE;ug/l;NVT
1276;T4ClC1a;CONCTTE;ug/l;NVT
1283;124TClBen;CONCTTE;ug/l;NVT
1286;TClC2e;CONCTTE;ug/l;NVT
1289;Tfrlne;CONCTTE;ug/l;NVT
1301;NVT;T;oC;NVT
1302;NVT;pH;DIMSLS;NVT
1303;NVT;GELDHD;mS/m;20oC
1305;OS;CONCTTE;mg/l;NVT
1311;O2;VERZDGGD;%;NVT
1311;O2;CONCTTE;mg/l;NVT
1335;NH4;CONCTTE;mg/l;Nnf
1337;Cl;CONCTTE;mg/l;nf
1338;SO4;CONCTTE;mg/l;nf
1339;NO2;CONCTTE;mg/l;Nnf
1340;NO3;CONCTTE;mg/l;Nnf
1345;NVT;HH;mg/l;CaCO3
1361;U;CONCTTE;ug/l;nf
1368;Ag;CONCTTE;ug/l;nf
1369;As;CONCTTE;ug/l;nf
1379;Co;CONCTTE;ug/l;nf
1382;Pb;CONCTTE;ug/l;nf
1383;Zn;CONCTTE;ug/l;nf
1385;Se;CONCTTE;ug/l;nf
1386;Ni;CONCTTE;ug/l;nf
1387;Hg;CONCTTE;ug/l;nf
1388;Cd;CONCTTE;ug/l;nf
1392;Cu;CONCTTE;ug/l;nf
1433;PO4;CONCTTE;mg/l;Pnf
1439;CHLFa;CONCTTE;ug/l;NVT
1458;Ant;CONCTTE;ug/l;NVT
1464;Clfvfs;CONCTTE;ug/l;NVT
1517;Naf;CONCTTE;ug/l;NVT
1629;135TClBen;CONCTTE;ug/l;NVT
1630;123TClBen;CONCTTE;ug/l;NVT
1652;HxClbtDen;CONCTTE;ug/l;NVT
1688;acnfn;CONCTTE;ug/l;NVT
1877;imdcpd;CONCTTE;ug/l;NVT
1888;PeClBen;CONCTTE;ug/l;NVT
1935;irgrl;CONCTTE;ug/l;NVT
1959;4ttC8yFol;CONCTTE;ug/l;NVT
2028;quinoxfn;CONCTTE;ug/l;NVT
2879;TC4ySn;CONCTTE;ng/l;NVT
2911;PBDE154;CONCTTE;ug/l;NVT
2912;PBDE153;CONCTTE;ug/l;NVT
2915;PBDE100;CONCTTE;ug/l;NVT
2916;PBDE99;CONCTTE;ug/l;NVT
2919;PBDE47;CONCTTE;ug/l;NVT
2920;PBDE28;CONCTTE;ug/l;NVT
5347;PFOA;CONCTTE;ug/l;NVT
5977;PFHpA;CONCTTE;ug/l;NVT
5978;PFHxA;CONCTTE;ug/l;NVT
5979;PFPA;CONCTTE;ug/l;NVT
6616;DEHP;CONCTTE;ug/l;NVT
6830;L_PFHxS;CONCTTE;ug/l;NVT
7073;F;CONCTTE;mg/l;NVT
